CONTENTID,CONTENTTYPEID,ADDR1,FIRSTIMAGE,OVERVIEW,TITLE,HOMEPAGE,ZIPCODE,TELNO
733902,32,제주특별자치도 서귀포시 성산읍 한도로 256,http://tong.visitkorea.or.kr/cms/resource/41/733341_image2_1.jpg,"전원휴양지인 ‘푸른제주’ 민박은 바다에서 들리는 생명의 숨소리 등 편안하고 특별한 여행의 즐거움을 느낄 수 있는 곳이다. 3층 건물의 한 동으로 이루어져 있는 푸른제주민박은 양실과 한실의 두 종류의 객실을 보유하고 있다. 2~4인 기준의 33㎡, 3~6인 기준의 40㎡형, 4~8인 기준의 50㎡형 등 다양한 객실이 있으며, 각 객실 내에는 깔끔한 욕실이 있으며 TV, 냉장고, 싱크대, 에어컨, 샤워대, 전기밥솥, 취사도구 등 당의 편의시설이 완비되어 있다. 이곳 일층에는 175㎡의 70여 명이 수용될 수 있는 식당을 운영하고 있어 음식재료를 마련해오지 못한 손님들은 제주 특산물인 흑 돼지 요리를 맛볼 수 있다. 직접 축산물 농장에서 흑 돼지 오겹살, 목살 들을 공급해와 저렴한 가격에 쫄깃하고 담백한 흑 돼지 요리를 먹을 수 있다. 그 외에 갈치조림, 고등어조림도 마련되어 있다. 
<br>",푸른제주 펜션,,63643,"064-783-4830, 010-2621-4830"
1887546,32,제주특별자치도 제주시 애월읍 유수암평화5길 34-29,,"프레리아 펜션은 제주도 제주시 애월읍 유수암리에 위치하고 있다. 밤에 테라스에서 쏟아지는 별을 보고, 아침에 제주의 아름다운 초록숲을 볼 수 있다. 프레리아는 2인실 원룸형 3개로 이루어져 있으며, 고객전용 카페가 있다. 객실마다 화장실, 냉장고, 테라스, 냉난방장치가 있으며, 간식과 음료가 무료제공 된다. <br>",프레리아펜션,,63067,010-9313-0761
577457,12,제주특별자치도 제주시 애월읍 평화로 2157,,"애벌레에서 화려한 나비로의 변신<br>
잉꼬, 토끼, 햄스터, 고슴도치, 장수풍뎅이, 사슴벌레와 아이들이 좋아하는 애완동물 및 곤충, 나비, 누에의 알 등을 직접 관찰하고 체험할 수 있는 공간이다.
스터디월드에서는 나비와 곤충의 의미를 비롯하여 역사로부터 생식, 생활사 및 한살이에 이르기까지 다양한 관람거리와 정보학습이 가능하도록 구성되어 있다. 패러디월드에서는 나비와 곤충들이 사람의 삶을 풍자한 패러디물을 전시하고 있다.
<br>",프시케월드(나비공원),"프시케월드 <a href=""http://www.psycheworld.net"" target=""_blank"" title=""프시케월드 사이트로 이동"">http://www.psycheworld.net</a>",63037,
2015336,12,제주특별자치도 서귀포시 중문관광로110번길 15,http://tong.visitkorea.or.kr/cms/resource/49/2022749_image2_1.jpg,"K-POP과 뉴미디어 기술이 만나 지금까지 경험해보지 못한 새로운 경험을 선사한다. 라이브 콘서트 이상의 환상적인 홀로그램 콘서트로 최정상 K-POP 스타들을 바로 눈앞에서 만나고, 음악을 통해 과거로의 여행도 떠날 수 있다. <br />
가상현실을 통해 스타와의 꿈같은 데이트를 즐기고, 화려한 K-POP STAR가 되어보는 짜릿한 경험도 체험 할 수 있다. 홀로그램 콘서트를 즐길 수 있는 소극장형 음악카페 별이 빛나는 밤에 카페와 스타 굿즈와 K-POP 관련 상품도 PLAY KPOP SHOP에서 만날 수 있다. <br>",플레이케이팝(PLAY K-POP),"플레이케이팝 
<a href=""http://www.playkpop.co.kr"" target=""_blank"" title=""새창: 플레이케이팝 홈페이지로 이동"">http://www.playkpop.co.kr</a>",63535,
591798,12,제주특별자치도 제주시 우도면 연평리,http://tong.visitkorea.or.kr/cms/resource/10/1954210_image2_1.jpg,푸른빛이 감도는 아름다운 해수욕장! 일명 `싸이판 해변`으로 불린다. 밀가루를 밟는 듯한 부드러운 모래와 얕은 수심으로 가족단위로 수영을 즐기기에 좋다. 해수욕장의 모래밭에서 조개 껍질을 주을 수 있다. 여름밤이면 멸치잡이배들의 휘황찬란한 불빛들이 앞바다를 수놓아 불꽃놀이의 장관을 연출한다.<br>,하고수동해변,"제주 문화관광 <a href=""http://www.jejutour.go.kr"" target=""_blank"" title=""제주 문화관광 사이트로 이동"">http://www.jejutour.go.kr</a>",63365,
1923590,12,제주특별자치도 서귀포시 안덕면 산록남로,,"화구 없는 오롯한 원뿔체(자그마한 피라미드형)로 정상부에는 소나무가 우거진 가운데 남서면에 풀밭이 있다.(작고 뾰족하며 둥글 게 생긴 봉우리를 회오리봉이라 했다.)<br />
영아리오름과 기슭자락으로 이어지며 오름 주변은 삼나무가 조림되어 있고, 잡목이 무성하여 길을 찾기가 어렵다. 하늬바람이 많이 불어온다고하여 붙인 이름이다. 오름 북쪽 사면에 사람이 만들어 놓은 동굴이 있다.<br />
(표고 : 592.3m 비고 : 42m 둘레 : 505m 면적 : 17,795㎡ 저경 : 192m)<br>",하늬복이오름,"제주 문화관광 <a title=""새창 : 제주 문화관광 홈페이지로 이동"" href=""http://www.jejutour.go.kr"" target=""_blank"">http://www.jejutour.go.kr</a>",63523,
142971,32,제주특별자치도 제주시 삼성로 10,http://tong.visitkorea.or.kr/cms/resource/60/1339960_image2_1.jpg,"하니크라운호텔은 뉴크라운, 밀라노크라운과 같은 크라운계열사의 호텔이다. 바다와 한라산이 한눈에 내려다보이는 위치에 자리하고 있으며 안락하게 꾸며진 객실과 편의시설, 지상주차장을 완비하고 있다.
<br />
하니크라운호텔은 현대적 감각의 로비를 갖추고 있으며 도심 속의 정원이 있고 국제 수준의 실내장식과 서비스를 느낄 수 있다. 
<br />
또한 유일하게 수목(아열대식물)과 잔디로 조성된 산책로를 갖추고 있다. 
<br />
객실은 언제 들어서더라도 깨끗함과 안락함을 느낄 수 있도록 심플하게 꾸며져 있다. 
<br />
호텔 내의 부대시설로는 연회장, 예식장(야외예식장), 세미나 전용 건물(신관), 한·양식당, 커피숍 등이 마련되어 있으며 편리함이 갖추어진 설비와 고객의 취향을 만족시켜주는 서비스를 통해 안락하게 지내실 수 있도록 편의를 제공하고 있다.
<br>",하니크라운호텔,,63197,064-758-4200
2023328,12,제주특별자치도 제주시 구좌읍 해맞이해안로 1897-27,,"하도마을은 아직 개발의 손이 닿지 않아 대중들에게는 많이 알려지지 않은 마을이지만 우리나라 유일의 천년기념물19호인 문주란자생지 토끼섬, 세계적 희귀조류인 노랑부리저어새황새, 백로, 가마우지류 등 수십종의 철새가 날아드는 하도철새도래지, 왜구침입을 막기위해 조선시대 축조된 제주도 기념물24호 별방진과 해녀들의 삶과 애환,풍습들을 한 눈에 볼수 있도록 전시된 해녀박물관,눈부시게 아름답고 깨끗한 푸른바다의 하얀백사장 하도해수욕장, 우도를 벗삼아 정면에 정면에 자리하고 있어 가장 제주적인 바다문화와 바다풍경을 체험하고 만끽할수 있는 전형적인 어촌마을이다. <br>",하도어촌체험마을,"하도어촌체험마을 <a href=""http://hado.seantour.com"" target=""_blank"" title=""하도어촌체험마을 사이트로 이동"">http://hado.seantour.com</a>",63363,
404185,39,제주특별자치도 서귀포시 대정읍 동일하모로 229,http://tong.visitkorea.or.kr/cms/resource/31/401531_image2_1.JPG,"부산의 향토음식인 밀면을 제주도 하르방밀면 전문점에서 만날 수 있다. 제주 하르방밀면은 혈액을 깨끗하게 하여 고혈압, 성인병예방에 도움을 주며, 노화방지에도 도움이 되는 톳으로 만든 면을 사용하고 있다. <br>",하르방밀면,,63508,064-794-5000
1620997,12,제주특별자치도 서귀포시 안덕면 사계중앙로,http://tong.visitkorea.or.kr/cms/resource/18/1954918_image2_1.jpg,"조선 효종 4년(1653년) 하멜 일행이 탄 네덜란드의 무역선 '스페로 호크'호가 심한 풍랑으로 이곳에 표류하게 된다. 그 뒤 13년 동안 이곳에 머물렀고, 고국으로 돌아간 하멜은 1668년에 '하멜 표류기' 일명 『난선 제주도 난파기』를 출판하여 한국을 서방세계에 널리 밝힌 최초의 사람이 되었다. 이 비는 하멜의 이러한 업적과 그들이 제주도에 표도한 사실을 기념하고, 양국(한국, 네덜란드)의 우호증진에 기여하기 위하여 한국국제문화협회와 주한네덜란드대사관의 공동 노력으로 1980년에 건립하였다. <br>",하멜기념비,,,064-760-3544
1620883,12,제주 서귀포시 대정읍 하모리,http://tong.visitkorea.or.kr/cms/resource/98/1617098_image2_1.jpg,"총 면적 17만여㎡, 백사장길이 250m, 너비 100m, 평균수심 1m, 경사도는 5˚도이다. 모슬포에서 가장 가까운 거리에 있어 모슬포해수욕장이라고도 하며 예전에 멸치(멜)가 많이 잡히던 곳이라 멜케해수욕장으로도 불린다. 모래가 곱고 수심이 얕으며 해안가 뒤의 넓은 잔디밭에서는 야영도 할 수 있어 가족단위 피서지로 적합하다. 아직 일반인들에게 잘 알려지지 않아 한적하고 조용하게 해수욕을 즐길 수 있고, 낚시 어선을 임대하여 배낚시를 할 수 있으며 계절 음식점에서 자연산 활어, 소라 등을 저렴한 가격으로 즐길 수 있는 곳이다.<br /><br />백사장 길이-250m, 너비-100m, 평균수심-1m<br>",하모해수욕장,"제주 문화관광 <a href=""http://www.jejutour.go.kr"" target=""_blank"" title=""제주시 문화관광 사이트로 이동"">http://www.jejutour.go.kr</a>",699-935,
977101,32,제주특별자치도 제주시 애월읍 애월해안로 298,http://tong.visitkorea.or.kr/cms/resource/19/1934019_image2_1.jpg,하얀둥지펜션은 전남벌교에서 채취한 황토로 만들어졌다.<br>,하얀둥지 펜션,,63046,"064-799-1600, 010-6710-1235"
1893993,32,제주특별자치도 서귀포시 표선면 민속해안로 351,,"'하얀언덕’은 표선해수욕장에서 시작하는 올레길 4코스 초입에 위치한 펜션 겸 게스트하우스이다. ‘하얀언덕’은 아름답고 평화롭게 이어진 해안도로변에 자리하고 있어 모든 객실 창문으로 시원한 바다 전경이 한눈에 들어온다. 숙소 앞 바다로 길게 뻗어나간 산책로를 거닐 수 있고 간조 때는 앞바다에 작은 풀이 만들어지며, 모래 해변이 아름다운 표선해수욕장까지 자동차로 3분 거리에 있다.
<br>",하얀언덕,,63629,"010-3665-8201, 064-787-7007"
142964,32,제주특별자치도 서귀포시 중문관광로72번길 114,http://tong.visitkorea.or.kr/cms/resource/41/1339641_image2_1.jpg,"중문 해수욕장 절벽에 그림처럼 자리 잡은 제주하얏트리젠시는 1985년에 국내 유일의 아트리움 양식으로 설계되었으며 건물이 원통형 구조라 어느 층에서든지 천정 위로 하늘을 볼 수 있다. 

유리로 된 돔형 천정에서 눈부신 자연광이 쏟아지고 폭포의 물소리가 싱그러운 로비에 들어서면 정성 어린 제주하얏트리젠시주의 서비스가 시작된다. 

객실은 안락하고 편안하게 꾸며져 있으며 작은 소품 하나에도 세심한 정성을 다한 흔적이 역력하다. 

부대시설로는 연회장, 스파&피트니스센터, 카지노, 수영장, 비즈니스센터, 사우나, 라운지 등이 마련되어 있다.

<br>",하얏트리젠시 제주,,63535,064-733-1234
142944,32,제주특별자치도 제주시 사장3길 32 (연동),http://tong.visitkorea.or.kr/cms/resource/80/1339980_image2_1.jpg,"제주의 특급 관광 우락시설이 밀집한 신제주 중심에 위치한 제주하와이호텔은  한라산과 자연의 경이로움으로 고객에게 감동을 선사한다.

객실은 고객이 만족할 수 있도록 편안하게 꾸며져 있으며 작은 소품 하나에도 세심한 정성을 다한 흔적이 역력하다. 피곤한 몸과 마음을 쉬어갈 수 있는 비즈니스맨과 관광객에게 호텔로 다가갈 것이다.

갖추어진 설비와 고객의 취향을 만족시켜주는 서비스를 통해 편안하고 안락하게 지내실 수 있도록 
편의를 제공하고 있다.

다양한 규모의 화려하고 격조 높은 맛을 풍기는 제주하와이호텔의 연회장에서는 기억에 남을 만한 연회를 연출하고 서비스를 제공한다.

또한 비즈니스맨을 위한 회의시설과 최첨단 장비를 갖춘 비즈니스센터에서는 고객들이 다양한 비즈니스를 진행하는 데 도움을 주고 있다. 그 밖의 무료인터넷, 컴퓨터, 프린터, 복사, 팩스 및 전화서비스도 제공하고 있다. <br>",하와이관광호텔,,63136,"064-742-0061,080-753-8811"
136240,32,제주특별자치도 서귀포시 중문관광로72번길 29-29,http://tong.visitkorea.or.kr/cms/resource/53/2469453_image2_1.jpg,"
(주)한국콘도는 우리나라 최초로 콘도미니엄 운영시스템을 개발한 회사로, 콘도업계의 맏형이다. 대한민국 관광산업의 미래를 개척한다는 자세로 해당지역에서 가장 좋은 곳을 선점하여 지점들을 설치하였다. 객실의 구조나 설비 또한 고객들의 취사가 실질적으로 가능하도록 정성을 기울였다. 제주도는 한라산을 배경으로 펼쳐지는 푸른 초원, 천연동굴, 해수욕장, 해변의 기암괴석 등 섬 전체가 수많은 관광지로 가득하다. 푸른 바다가 한눈에 들어오는 바닷가 하얀 집, 제주한국콘도는 제주 관광의 중심지인 중문 관광단지의 전망 좋은 위치에 자리 잡은 제주도의 콘도이다. 골프장, 승마장, 사냥터, 해수욕장 등을 비롯한 훌륭한 레저 휴양시설을 갖춘 국제적 관광지 제주에서 경이로운 남국의 멋을 느껴볼 수 있다. 콘도 내의 부대시설로는 야외수영장,  편의점, 노래방, 세미나실 등이 마련되어 있고 모든 편리함이 갖추어진 설비와 고객의 취향을 만족시켜주는 최상의 서비스를 통해 편안하고 안락하게 지내실 수 있도록 모든 편의를 제공하고 있다.

<br>",한국콘도 제주지점,,63535,064-738-9101
1918643,12,제주특별자치도 제주시 애월읍 봉성리 산1,,"1100도로 삼형제오름 서쪽 약 1.5Km 지점에 위치한 오름으로 탐라각휴게소를 지나 영실입구에 채 못미쳐 우측으로 나있는 표고밭길을 따라 4km정도 들어가면 표고밭 관리사가 있으며, 다시 이곳에서 1Km쯤 안으로 걸어들어가면 평평한 습지와 함께 가로 누워 있는 한대오름에 이르게 된다. 이 오름은 전체적으로 완만한 경사를 갖고 있으며 비고가 낮은 오름으로 2개의 봉우리가 산정부에서 이어져 있는 형태이다. 전사면에 해송, 삼나무가 주종을 이루며 잡목이 우거지고 진달래, 꽝꽝나무, 청미래덩굴 등이 식생하고 있다. 오름 서쪽자락에는 곰취군락이 있고, 동쪽자락에는 꽤 넓은 습원(濕原)을 이루면서 주변에는 물웅덩이가 많다.<br>",한대오름,"제주 문화관광 <a title=""새창 : 제주 문화관광 홈페이지로 이동"" href=""http://www.jejutour.go.kr"" target=""_blank"">http://www.jejutour.go.kr</a>",63039,064-728-2742
264590,12,제주 제주시 해안동,http://tong.visitkorea.or.kr/cms/resource/99/1632499_image2_1.jpg,"옛날 신선들이 하늘에서 내려와 백록을 타고 놀았다해서 백록담이라 불려졌다 한다. 둘레 약 2천여미터, 깊이가 약 100여 미터의 커다란 화산호인 백록담을 한 바퀴 돌고 나면 제주 섬 해안 도로를 다 돌아다닌 것이나 진배없다. 높이 1,950m이다. 남한에서 가장 높은 산이다. 제3기 말∼제4기 초에 분출한 휴화산이다. 현무암으로 이루어져 있으며 줄기는 제주도 중앙에서 동서로 뻗는다. 남쪽은 경사가 심한 반면 북쪽은 완만하고, 동서쪽은 비교적 높으면서도 평탄하다. 정상에는 둘레 약 3㎞, 지름 500m의 화구호인 백록담(白鹿潭)이 있으며, 주위 사방에 흙붉은오름[土赤岳]·사라오름[砂羅岳]·성널오름[城板岳]·어승생오름[御乘生岳] 등 360여 개의 측화산을 거느리고 있다.   둔덕에 올라서면 산의 높이가 느껴지고 마치 하늘에 두둥실 떠 있는 듯한 멋진 환상을 맛보게 된다. 한편 한라산은 천연기념물 제182호인 한라산 천연보호구역으로 지정, 보호되고 있다.<br /><br />
* 한라산국립공원 등산허용 안내<br />
[입산] <br />
어리목코스(어리목입구매표소) - 동절기 12:00 / 춘추절기 14:00 / 하절기 15:00<br />
어리목코스(윗세오름통제소) - 동절기 13:00 / 춘추절기 13:30 / 하절기 14:00<br />
영실코스(등반로입구통제소) - 동절기 12:00 / 춘추절기 14:00 / 하절기 15:00<br />
성판악코스(탐방로입구) - 동절기 12:00 / 춘추절기 12:30 / 하절기 13:00<br />
성판악코스(진달래밭통제소) - 동절기 12:00 / 춘추절기 12:30 / 하절기 13:00<br />
관음사코스(탐방로입구) - 동절기 12:00 / 춘추절기 12:30 / 하절기 13:00<br />
관음사코스(삼각봉통제소) - 동절기 12:00 / 춘추절기 12:30 / 하절기 13:00<br />
어승생악코스(어리목입구매표소) - 동절기 16:00 / 춘추절기 17:00 / 하절기 18:00<br />
돈내코코스(등반로입구안내소) - 동절기 10:00 / 춘추절기 10:30 / 하절기 11:00<br />
석굴암(충혼묘지주차장) - 동절기 16:00 / 춘추절기 17:00 / 하절기 18:00<br />
[하산]<br />
윗세오름 - 동절기 15:00 / 춘추절기 16:00 / 하절기 17:00<br />
동능정상 - 동절기 13:30 / 춘추절기 14:00 / 하절기 14:30<br />
남벽분기점 - 동절기 14:00 / 춘추절기 14:30 / 하절기 15:00<br />
<br />
※ 동절기(1,2,11,12월)/춘추절기(3,4,9,10월)/하절기(5,6,7,8월) <br>",한라산 백록담,"한라산국립공원 <a href=""http://www.hallasan.go.kr"" target=""_blank"" title=""한라산국립공원 사이트로 이동"">http://www.hallasan.go.kr</a>",690-200,
126436,12,제주특별자치도 제주시 조천읍 516로 1865,http://tong.visitkorea.or.kr/cms/resource/41/1036841_image2_1.jpg,"한라산 등반시 거쳐야 하는 여러 갈래 코스 중의 하나가 성판악이다. 성판악 코스는 관음사 코스와 더불어 백록담이 보이는 화구륜 코스까지 오를 수 있는 한라산 동쪽 코스로 경사가 완만하다. 2003년 3월부터 정상 등반이 연중 가능하다.<br>
 제주시와 서귀포를 잇는 5.16도로의 중간 지점 가장 높은 곳에 성판악휴게소가 있는데, 이곳은 한라산으로 오르는 등산로 중의 하나인 성판악 등산로가 시작되는 곳이다. 등산로에는 서어나무 등 활엽수가 우거져서 삼림욕하면서 걷기에 좋다. 주위에는 갖가지 나무가 자라고 있고 철마다 변화 하는 한라산의 아름다움을 느낄 수 있는 곳이다. 성판악 등산로를 따라 정상으로 가다 보면 도중에 높이 1,215m의 성판악을 지나게 된다. <br>",한라산 성판악,"한라산국립공원 <a href=""http://www.hallasan.go.kr"" target=""_blank"" title=""한라산국립공원 사이트로 이동"">http://www.hallasan.go.kr</a>",63345,"064-713-9950~3, 725-9950"
