"CONTENTID","CONTENTTYPEID","TITLE"
"126672","12","송악산"
"598696","12","쇠머리오름(우도봉)"
"129617","12","쇠소깍"
"404130","39","수미향토음식점"
"778296","12","수보사(구,광명사)"
"1945208","12","수악(물오름)"
"133973","39","수용횟집(체험배낚시)"
"126434","12","수월봉"
"228859","12","수월봉과 차귀해안"
"1305270","39","수희식당"
"578311","39","순덕이네해산물장터"
"1828395","39","순옥이네명가"
"1959018","39","순풍해장국"
"1836795","32","숨 게스트하우스 제주공항점"
"1874030","32","숨비아일랜드"
"914711","32","숲속의궁전"
"2368195","39","쉬는팡가든"
"2469444","12","스마트그리드 홍보관"
"138003","32","스위트드림빌"
"970675","32","스프링힐 리조트"
"2414812","12","신산공원"
"397635","32","신성리조트"
"137348","32","신세계호텔"
"126447","12","신양 섭지코지해변"
"129072","12","신양마을 [해양수산부 선정 아름다운 어촌]"
"2469468","12","신재생에너지 홍보관"
"655553","39","신제주삼보식당"
"1621045","12","신촌향사"
"635701","12","신풍 신천 바다목장"
"1993484","32","싸리즈 펜션"
"129620","12","쌍용굴(한림공원)"
"143057","32","썬비치호텔"
"973990","32","씨에나펜션"
"142948","32","씨에스 호텔&리조트"
"733613","32","아망뜨펜션(제주)"
"1351320","12","아부오름"
"136453","32","아이웰 썬랜드 호텔"
"985385","32","아침의향기"
"2359168","39","안거리 밖거리"
"126440","12","안덕계곡"
"128640","12","알뜨르비행장 및 일본군 비행기 격납고"
"733622","32","앙끄리에펜션"
"404216","39","야자수식당"
"127862","12","약천사(제주)"
"1620863","12","양금석가옥"
"128326","12","어멍아방잔치마을"
"1984256","39","어부랑누이랑"
"127202","12","어승생"
"1925362","12","어영소공원"
"404209","39","어장군"
"1828301","39","어진이네횟집"
"127052","12","엉또폭포"
"1898906","12","엉알해안"
"143132","32","에뜨왈 리조트"
"1146121","12","에코랜드테마파크"
"495900","32","에쿠스모텔 [우수숙박시설 굿스테이]"
"733654","32","에트왈제주 펜션"
"2031057","32","엘린 호텔"
"126464","12","여미지식물원"
"126463","12","연북정"
"126473","12","연화못(하가못)"
"1925366","12","열안지(오라동)"
"1925369","12","열안지오름(봉개동)"
"1348840","32","예래펜션"
"662445","32","예이츠 산장"
"776998","32","예하게스트하우스 [우수숙박시설 굿스테이]"
"1984267","39","옛고을돼지국밥"
"664154","39","옛날옛적"
"404165","39","옛정의골식당"
"1984276","39","오늘은 회"
"1896538","39","오라숲소리(구. 고내촌숲소리)"
"1910891","32","오렌지트리호텔"
"1984486","39","오름가든"
"2035397","39","오름나그네"
"1926354","12","오백나한"
"2473487","12","오설록 티뮤지엄"
"143120","32","오션그랜드호텔제주"
"1403482","32","오션스위츠 제주호텔"
"971331","32","오션하우스"
"129071","12","오조마을 [해양수산부 선정 아름다운 어촌]"
"404168","39","오조해녀의집"
"126462","12","오현단"
"1909351","39","온평향토맛집"
"820960","39","올드상하이"
"1827714","39","올래국수"
"133974","39","옹포별장가든"
"2363045","39","와랑와랑"
"1891566","32","와이리조트 제주(Y RESORT JJ)"
"2301104","12","왈종미술관"
"1925384","12","왕이메"
"126470","12","외돌개(제주)"
"572960","12","용눈이오름"
"228853","12","용두암"
"250412","12","용두암해수랜드"
"1984286","39","용두암해촌"
"228854","12","용머리해안"
"127745","12","용연"
"478113","12","용천동굴 [유네스코 세계자연유산]"
"129147","12","우도 등대"
"598558","12","우도 산호해변(서빈백사)"
"129074","12","우도마을 [해양수산부 선정 아름다운 어촌]"
"127363","12","우도잠수함"
"127336","12","우도해양도립공원"
"2359221","39","우정회센타 (2호점)"
"1973369","12","웃세오름"
"126458","12","원당사지"
"126475","12","월대"
"1895925","32","월드와이드 유스호스텔"
"347233","12","월영사(제주)"
"1918639","12","월정리해변(월정리해수욕장)"
"347234","12","월정사(제주)"
"2384960","39","웬드구니"
"1312500","32","웰리조트"
"128330","12","위미1리어촌체험마을"
"1511149","32","유로리조트"
"138009","32","유리성펜션"
"404214","39","유빈"
"1861280","39","은희네해장국"
"2473491","12","이니스프리 제주하우스"
"139965","32","이도펜션 (구 제주펜트하우스)"
"780778","12","이상한 나라의 앨리스"
"138935","32","이어도성 펜션"
"1621161","12","이영숙가옥"
"127283","12","이중섭 거주지"
"1620936","12","이중섭 문화거리"
"126448","12","이호 테우해변"
"666576","32","일성제주비치콘도&리조트"
"127857","12","일출랜드"
"404139","39","일출봉 등경돌"
"143013","32","일출봉관광호텔"
"2301121","12","자연사랑미술관"
"138782","32","작은프랑스호텔"
"404173","39","장수해장국"
"1984289","39","장원식당"
"135258","39","장위동유성집(제주점)"
"655022","39","장춘식당"
"1351196","12","저지오름(닥몰오름,새오름)"
"228864","12","절부암"
"987913","12","점보빌리지"
"1926369","12","정물알오름"
"1926379","12","정물오름"
"126437","12","정방폭포"
"2469463","12","정석 항공관"
"1621147","12","정의향교"
"1621165","12","정의현성"
"2469470","12","제스피 제조장"
"2382246","32","제이뷰호텔"
"138016","32","제주 가산토방"
"2472686","12","제주 감귤박물관"
"2469449","12","제주 국제해양과학연구·지원센터"
"139855","32","제주 그랑빌펜션"
"142951","32","제주 그레이스 관광호텔"
"137814","32","제주 금강산콘도"
"733395","32","제주 나폴리펜션"
"1672315","12","제주 노루생태관찰원"
"905600","32","제주 뉴오션리조트"
"477920","12","제주 당처물동굴 [유네스코 세계자연유산]"
"2023350","12","제주 동백마을"
"139854","32","제주 라임오렌지빌"
"136621","32","제주 마이테르"
"397628","32","제주 명도암유스호스텔"
"801097","12","제주 명도암참살이마을"
"2353963","12","제주 벚꽃길 드라이브"
"984523","32","제주 블랙스톤 호텔"
"128555","12","제주 산방산탄산온천"
"1870985","12","제주 삼다수"
"127744","12","제주 삼성혈"
"129455","12","제주 삼양동 유적"
"904636","32","제주 상록수 숲속의집"
"128150","12","제주 서광다원"
"128506","12","제주 서귀포 상예마을"
"143020","32","제주 선샤인호텔"
"478140","12","제주 선흘리 벵뒤굴 [유네스코 세계자연유산]"
"142713","32","제주 스위트호텔"
"137790","32","제주 신신휴양펜션"
"733594","32","제주 써니데이"
"128444","12","제주 아홉굿 의자마을"
"142972","32","제주 오리엔탈호텔"
"642353","12","제주 유리의성"
"2045014","12","제주 유수암마을"
"138386","32","제주 재즈마을"
"397814","32","제주 중문빌리지"
"733799","32","제주 지삿개풍경"
"1936339","12","제주 청수마을"
"1737497","12","제주 초콜릿랜드"
"904802","32","제주 추억여행"
"983936","32","제주 캐슬렉스 골프텔"
"126445","12","제주 토끼섬 문주란 자생지"
"142943","32","제주 퍼시픽 호텔"
"978165","32","제주 펜션 포시즌(Fourseason)"
"660972","12","제주 하도리 철새도래지"
"733784","32","제주 하이랜드 펜션"
"128050","12","제주 항파두리 항몽 유적"
"905414","32","제주 힐리조트"
"2469464","12","제주 MBC"
"1907801","12","제주4·3평화공원"
"142966","32","제주KAL호텔"
"250282","12","제주공룡랜드"
"138185","32","제주금호리조트"
"1957971","12","제주도 관광특구"
"1162240","12","제주도 지질공원"
"635460","12","제주도예촌"
"750400","32","제주도통나무펜션"
"138366","32","제주동양콘도"
"404175","39","제주뚝배기"
"128556","12","제주러브랜드"
"142968","32","제주로얄호텔"
"749960","32","제주마린리조트 햇살이든"
"637212","12","제주마방목지"
"820884","39","제주마원"
"1892199","32","제주메이더호텔"
"1932636","32","제주메이플호텔 [우수숙박시설 굿스테이]"
"128641","12","제주목관아"
"138602","32","제주목화휴양펜션"
"128049","12","제주미니랜드"
"687563","39","제주미향"
"733684","32","제주바다산책"
"978128","32","제주바닷가하우스"
"882318","32","제주발리리조트"
"2469451","12","제주발전본부 (제주화력발전소)"
"745313","12","제주별빛누리공원"
"1984484","39","제주본가"
"137826","32","제주비앤비펜션"
"1432847","39","제주삼다국수"
"142975","32","제주서울 관광호텔"
"636393","12","제주선인장마을"
"129384","12","제주성지"
"978402","32","제주스웨덴펜션"
"1984491","39","제주슬로비"
"125400","12","제주시"
"142946","32","제주신라호텔"
"978214","32","제주썬레이크빌"
"142973","32","제주썬호텔&카지노"
"702838","12","제주아트랜드"
"2398969","32","제주알(R)호텔 서귀포점 [우수숙박시설 굿스테이]"
"2019719","32","제주알(R)호텔 (제주점)[우수숙박시설 굿스테이]"
"232284","32","제주애 펜션"
"904675","32","제주야구인의 마을"
"135921","39","제주어촌"
"1268380","39","제주에서첫번째"
"1742539","32","제주에코스위츠"
"1846473","32","제주오션팰리스호텔"
"558327","32","제주올레리조트"
"1821483","32","제주올레하우스"
"750434","32","제주올리브"
"128665","12","제주워터월드"
"1847741","39","제주장터가든"
"127479","12","제주절물자연휴양림"
"127948","12","제주조각공원"
"1880892","32","제주카사블랑카"
"138680","32","제주캐슬펜션"
"733770","32","제주태흥리조트"
"1874740","12","제주테크노파크 생물종다양성연구소"
"1989182","12","제주특별자치도"
"142970","32","제주팔레스호텔"
"980356","32","제주펜션 향림원"
"2469456","12","제주하수처리장"
"2472719","12","제주항공우주박물관"
"1621118","12","제주해녀항일운동기념탑"
"138588","32","제주해안휴양펜션"
"397811","32","제주향"
"127743","12","제주향교"
"128345","12","제주허브동산"
"397813","32","제주휴펜션(구,제주펜션)"
"1206420","12","제주힐링명상센터 (무병장수테마파크)"
"1918417","12","제지기오름"
"2384996","39","젠하이드어웨이"
"1812994","12","조랑말체험공원"
"939166","32","조은리조트"
"973933","32","조이빌 리조트"
"1909319","39","종달수다뜰"
"133975","39","종달해녀의집"
"127053","12","주상절리(대포동지삿개)"
"985273","32","중문 오아시스 펜션"
"126449","12","중문·색달 해변"
"127492","12","중문관광단지"
"135402","39","중문신라원"
"138606","32","중문훼미리펜션&리조트"
"404178","39","중앙식당"
"1892529","39","중화요리 민봉태"
"1918413","12","지미봉"
"1984528","39","지미봉가든"
"1874612","12","지속가능환경교육센터"
"2384971","39","지오아라"
"733822","32","지중해리조트"
"404180","39","진미명가 (진미식당)"
"1019521","39","진주식당"
"126444","12","차귀도"
"1895611","12","천아오름"
"482093","12","천왕사(제주)"
"404182","39","천제연토속음식점"
"126439","12","천제연폭포"
"129395","12","천지연 걸매생태공원"
"126438","12","천지연폭포"
"1986683","39","청운식당"
"138017","32","청재설헌"
"1028818","12","초록돌이야기 [원예체험학습장]"
"133976","39","초원흑돼지"
"635928","12","최남단체험감귤농장"
"127863","12","추자도"
"129146","12","추자도 등대"
"741109","12","카멜리아힐"
"1894633","32","카이 호스텔"
"2405466","32","카이로스"
"2469462","12","카카오 본사 (스페이스닷원)"
"1984545","39","카페 하루하나"
"1945496","39","카페동네"
"2385005","39","카페코지"
"1984556","39","커리왈라"
"1984758","39","커피볶는집 e브엘세바 서귀점"
"137369","32","켄싱턴 리조트(서귀포점)"
"137368","32","켄싱턴리조트 제주마리나"
"1882274","32","코델리아리조트"
"1984697","39","콘브리오"
"735764","32","큰갯물 콘도(콘도형 펜션)"
"133990","39","큰갯물횟집"
"660876","32","클럽다인리조트"
"1882504","32","킴스캐빈"
"984562","32","타미우스골프&빌리지"
"654970","39","탐라정"
"934981","32","테디 밸리 골프&리조트 호텔"
"1950243","39","텐피자"
"2374318","39","템플스테이푸드"
"1996781","39","토계정"
"137476","32","토비스콘도 / 제주"
"137957","32","티파니에서 아침을"
"971270","32","파인빌펜션"
"2405964","32","팜밸리리조트"
"660924","32","팜빌리지"
"126466","12","퍼시픽랜드"
"1893889","12","펀테마파크"
"733891","32","펜사콜라 펜션"
"1893137","32","펠리스타운"
"1828347","39","평대해녀촌"
"1621032","12","평화통일 불사리탑"
"1894943","32","포도호텔"
"1918421","12","폭낭오름"
